station,name,lat,lon,"last date",sum,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021
89104,"LEIGH RIVER @ MOUNT MERCER",-37.8128,143.9178,03/02/2021,2.2,0,0,2,0,0,0.2,0
82140,"LIMA EAST (CHARNWOOD)",-36.8542,145.9381,03/02/2021,0,0,0,0,0,0,0,0
82107,"LIMA SOUTH (LAKE NILLAHCOOTIE)",-36.8550,146.0046,03/02/2021,0,0,0,0,0,0,0,0
76133,"LINDSAY POINT",-34.1051,141.0166,03/02/2021,0,0,0,0,0,0,0,0
89018,"LISMORE (POST OFFICE)",-37.9543,143.3437,03/02/2021,0.6,0,0,0.6,0,0,0,0
79028,LONGERENONG,-36.6722,142.2991,03/02/2021,0,0,0,0,0,0,0,0
90185,"LORNE (MOUNT COWLEY)",-38.5497,143.8594,03/02/2021,5,1.4,0,2.2,0,0,0,1.4
85053,MADALYA,-38.5061,146.5186,03/02/2021,9.2,0,0,0,6.8,0.2,0,2.2
86264,"MAIN RIDGE",-38.4059,144.9520,03/02/2021,5.4,0,0,0,5.4,0,0,0
84084,MALLACOOTA,-37.5976,149.7289,03/02/2021,0.6,0,0.4,0.2,0,0,0,0
88109,"MANGALORE AIRPORT",-36.8886,145.1859,03/02/2021,0,0,0,0,0,0,0,0
83019,"MANSFIELD (POST OFFICE)",-37.0525,146.0872,03/02/2021,0,0,0,0,0,0,0,0
84023,MARLO,-37.7864,148.5456,03/02/2021,0,0,0,0,0,0,0,0
88043,MARYBOROUGH,-37.0560,143.7320,03/02/2021,0,0,0,0,0,0,0,0
88103,"MARYSVILLE GOLF COURSE",-37.4958,145.7475,03/02/2021,0.6,0,0,0.6,0,0,0,0
86338,"MELBOURNE (OLYMPIC PARK)",-37.8255,144.9816,03/02/2021,0.4,0,0,0.4,0,0,0,0
86282,"MELBOURNE AIRPORT",-37.6654,144.8322,03/02/2021,0.6,0.2,0.2,0.2,0,0,0,0
86232,"MELBOURNE BOTANICAL GARDENS",-37.8309,144.9839,03/02/2021,0,0,0,0,0,0,0,0
87042,MEREDITH,-37.8344,144.0635,03/02/2021,0,0,0,0,0,0,0,0
87043,"MEREDITH (DARRA)",-37.8197,144.1492,03/02/2021,0,0,0,0,0,0,0,0
90057,MERINO,-37.7200,141.5489,03/02/2021,1.6,0,0,1.6,0,0,0,0
82147,"MERTON (ENDERLEE)",-36.9217,145.6769,03/02/2021,0,0,0,0,0,0,0,0
82029,"MILAWA BROWN BROS",-36.4560,146.4299,03/02/2021,0,0,0,0,0,0,0,0
76031,"MILDURA AIRPORT",-34.2358,142.0867,03/02/2021,0,0,0,0,0,0,0,0
80036,MINCHA,-35.9681,144.1073,03/02/2021,0,0,0,0,0,0,0,0
89019,"MIRRANATWA (BOWACKA)",-37.4043,142.3843,03/02/2021,0.2,0,0,0.2,0,0,0,0
86074,MITCHAM,-37.8219,145.1906,03/02/2021,1,0,0,1,0,0,0,0
85270,"MITCHELL RIVER @ GLENALADALE",-37.7647,147.3744,03/02/2021,0,0,0,0,0,0,0,0
82068,"MITTA MITTA",-36.5293,147.3748,03/02/2021,0,0,0,0,0,0,0,0
85309,"MOE SOUTH",-38.2186,146.2487,03/02/2021,0.8,0,0,0.6,0,0,0,0.2
88064,"MOLLISONS CK AT PYALONG",-37.1225,144.8561,03/02/2021,0,0,0,0,0,0,0,0
86072,"MONBULK (SPRING ROAD)",-37.8808,145.4231,03/02/2021,5.4,0,0,5.4,0,0,0,0
86077,"MOORABBIN AIRPORT",-37.9800,145.0962,03/02/2021,0.4,0,0,0.4,0,0,0,0
87068,"MOORABOOL RIVER AT LAL LAL",-37.6450,144.0411,03/02/2021,1.8,0,0,1.6,0.2,0,0,0
81034,MOOROOPNA,-36.3989,145.3448,03/02/2021,0,0,0,0,0,0,0,0
90176,"MORTLAKE RACECOURSE",-38.0737,142.7744,03/02/2021,0.8,0,0,0.4,0,0,0,0.4
85280,"MORWELL (LATROBE VALLEY AIRPORT)",-38.2094,146.4746,03/02/2021,3.2,0,0,2.2,0.2,0,0,0.8
85291,"MOUNT BAW BAW",-37.8384,146.2747,03/02/2021,32.6,0,0,21.2,0,0,0,11.4
85063,"MOUNT BEST (UPPER TOORA)",-38.6078,146.3185,03/02/2021,8.8,0,0,6.4,0,0,0,2.4
83073,"MOUNT BUFFALO CHALET",-36.7220,146.8189,03/02/2021,0,0,0,0,0,0,0,0
83024,"MOUNT BULLER",-37.1450,146.4394,03/02/2021,0,0,0,0,0,0,0,0
84152,"MOUNT DELEGATE",-37.1125,148.8974,03/02/2021,0.2,0,0,0.2,0,0,0,0
83085,"MOUNT HOTHAM",-36.9772,147.1342,03/02/2021,0,0,0,0,0,0,0,0
85296,"MOUNT MOORNAPA",-37.7481,147.1428,03/02/2021,1.8,0.2,0,1.6,0,0,0,0
84144,"MOUNT NOWA NOWA",-37.6924,148.0908,03/02/2021,2,0.2,0,1.6,0,0,0.2,0
85288,"MOUNT TAMBORITHA",-37.4667,146.6883,03/02/2021,0.2,0,0,0.2,0,0,0,0
85021,"MOUNT USEFUL",-37.7000,146.5167,03/02/2021,5.8,2,0,3.2,0.4,0,0,0.2
86297,"MOUNT WAVERLEY (RIVERSDALE GOLF CLUB)",-37.8722,145.1160,03/02/2021,0,0,0,0,0,0,0,0
85304,"MOUNT WELLINGTON",-37.4967,146.8575,03/02/2021,0.8,0.8,0,0,0,0,0,0
83093,"MT SUNDAY",-37.3399,146.4242,03/02/2021,0,0,0,0,0,0,0,0
85289,"MURDERERS HILL",-37.8514,146.5550,03/02/2021,6.4,2.6,0,2.8,0.2,0,0,0.8
76038,MURRAYVILLE,-35.2628,141.1789,03/02/2021,0,0,0,0,0,0,0,0
82156,"MYRHEE (HANDCOCKS)",-36.7903,146.2800,03/02/2021,0,0,0,0,0,0,0,0
82116,"MYRRHEE (BOGGY CK AT ANGLESIDE)",-36.6083,146.3583,03/02/2021,0,0,0,0,0,0,0,0
81019,"NAGAMBIE (GOULBURN WEIR)",-36.7180,145.1731,03/02/2021,0,0,0,0,0,0,0,0
79036,NATIMUK,-36.7416,141.9429,03/02/2021,0,0,0,0,0,0,0,0
87175,"NEWHAM (COBAW)",-37.2732,144.5974,03/02/2021,0,0,0,0,0,0,0,0
78015,"NHILL AERODROME",-36.3093,141.6486,03/02/2021,0,0,0,0,0,0,0,0
84140,"NICHOLSON WINERY",-37.7962,147.7559,03/02/2021,0,0,0,0,0,0,0,0
85313,"NILMA NORTH (WARRAGUL)",-38.1321,145.9865,03/02/2021,2.8,0.2,0,1.8,0,0,0,0.8
77079,NINYEUNOOK,-36.0086,143.3719,03/02/2021,0,0,0,0,0,0,0,0
90060,NULLAWARRE,-38.4699,142.7502,03/02/2021,3,0,0,2.4,0,0,0,0.6
86088,"OAKLEIGH (METROPOLITAN GOLF CLUB)",-37.9142,145.0935,03/02/2021,1.4,0,0,1.4,0,0,0,0
83090,OMEO,-37.1017,147.6008,03/02/2021,0,0,0,0,0,0,0,0
84145,ORBOST,-37.6922,148.4667,03/02/2021,0.8,0,0,0.8,0,0,0,0
76047,"OUYEN (POST OFFICE)",-35.0681,142.3125,03/02/2021,0,0,0,0,0,0,0,0
82112,"OVENS RIVER @ EUROBIN",-36.6533,146.8567,03/02/2021,0,0,0,0,0,0,0,0
83001,"OVENS RIVER @ HARRIETVILLE",-36.8799,147.0620,03/02/2021,0,0,0,0,0,0,0,0
79107,"PATYAH (BOOROOPKI)",-36.8128,141.2592,03/02/2021,0.4,0,0,0.4,0,0,0,0
90063,"PENSHURST (POST OFFICE)",-37.8750,142.2895,03/02/2021,0.8,0,0,0.8,0,0,0,0
90171,"PORTLAND (CASHMORE AIRPORT)",-38.3148,141.4705,03/02/2021,2.2,0,0.2,1.2,0,0,0.2,0.6
85099,"POUND CREEK",-38.6297,145.8107,03/02/2021,2.2,0,0,1.8,0,0,0,0.4
86096,"PRESTON RESERVOIR",-37.7214,145.0059,03/02/2021,0.8,0,0,0.6,0.2,0,0,0
88167,"PUCKAPUNYAL LYON HILL (DEFENCE)",-36.9381,145.0539,03/02/2021,0,0,0,0,0,0,0,0
88166,"PUCKAPUNYAL WEST (DEFENCE)",-37.0177,144.8546,03/02/2021,0,0,0,0,0,0,0,0
79101,"PYRENEES (BEN NEVIS)",-37.2281,143.2006,03/02/2021,1.6,0,0,1.6,0,0,0,0
77034,"QUAMBATOOK SOUTH",-35.9296,143.4992,03/02/2021,0,0,0,0,0,0,0,0
88051,REDESDALE,-37.0194,144.5203,03/02/2021,0,0,0,0,0,0,0,0
85303,"REEVES KNOB",-37.5325,147.0053,03/02/2021,2.2,1.2,0,1,0,0,0,0
86373,RHYLL,-38.4612,145.3101,03/02/2021,1.6,0,0.2,0.8,0,0,0,0.6
80049,ROCHESTER,-36.3612,144.7110,03/02/2021,0,0,0,0,0,0,0,0
89068,ROKEWOOD,-37.9022,143.7225,03/02/2021,0,0,0,0,0,0,0,0
86213,"ROSEBUD (COUNTRY CLUB)",-38.3782,144.8984,03/02/2021,1.8,0,0,0,0,0,0,1.8
82162,"ROSEWHITE FLD",-36.5775,146.8203,03/02/2021,0,0,0,0,0,0,0,0
79075,"RUPANYUP (POST OFFICE)",-36.6287,142.6321,03/02/2021,0,0,0,0,0,0,0,0
81120,"RUSHWORTH (RAGLUS)",-36.5832,145.0122,03/02/2021,0,0,0,0,0,0,0,0
82039,"RUTHERGLEN RESEARCH",-36.1048,146.5094,03/02/2021,0,0,0,0,0,0,0,0
86104,"SCORESBY RESEARCH INSTITUTE",-37.8710,145.2561,03/02/2021,2.6,0,0,2.6,0,0,0,0
77039,"SEA LAKE (POST OFFICE)",-35.5046,142.8493,03/02/2021,0,0,0,0,0,0,0,0
82154,"SEVEN CREEKS AT D/S POLLY MCQUINNS WEIR",-36.8892,145.6814,03/02/2021,0,0,0,0,0,0,0,0
82151,"SEVEN CREEKS AT STRATHBOGIE",-36.8628,145.7333,03/02/2021,0,0,0,0,0,0,0,0
82143,"SHEANS CREEK (HERONSLEA)",-36.7861,145.6581,03/02/2021,0,0,0,0,0,0,0,0
87168,SHEOAKS,-37.9075,144.1303,03/02/2021,0.6,0,0,0.6,0,0,0,0
81125,"SHEPPARTON AIRPORT",-36.4288,145.3949,03/02/2021,0,0,0,0,0,0,0,0
89025,"SKIPTON (GOLF COURSE)",-37.6901,143.3704,03/02/2021,0,0,0,0,0,0,0,0
82031,"SNOWY CREEK (SNOWY CK D/S LIGHTNING CREE",-36.6625,147.4319,03/02/2021,0,0,0,0,0,0,0,0
84126,"SNOWY RIVER AT MCKILLOPS BRIDGE",-37.0830,148.4141,03/02/2021,0,0,0,0,0,0,0,0
86369,"SPRINGVALE (SANDOWN)",-37.9535,145.1655,03/02/2021,1,0,1,0,0,0,0,0
86111,"SPRINGVALE NECROPOLIS",-37.9445,145.1764,03/02/2021,0,0,0,0,0,0,0,0
79040,"ST ARNAUD",-36.6175,143.2644,03/02/2021,0,0,0,0,0,0,0,0
80131,"ST ARNAUD (COONOOER BRIDGE (YAWONG))",-36.4442,143.3061,03/02/2021,0,0,0,0,0,0,0,0
81046,STANHOPE,-36.4436,144.9840,03/02/2021,0,0,0,0,0,0,0,0
79105,"STAWELL AERODROME",-37.0720,142.7402,03/02/2021,0,0,0,0,0,0,0,0
85166,STRATFORD,-37.9582,147.0843,03/02/2021,0.2,0,0,0.2,0,0,0,0
82042,STRATHBOGIE,-36.8472,145.7308,03/02/2021,0,0,0,0,0,0,0,0
82165,"STUMP HILL (BARJARG)",-36.9502,146.0095,03/02/2021,0,0,0,0,0,0,0,0
77094,"SWAN HILL AERODROME",-35.3766,143.5416,03/02/2021,0,0,0,0,0,0,0,0
85302,"TAMBORITHA-MOROKA (SNOWY RANGE)",-37.2864,146.7188,03/02/2021,0,0,0,0,0,0,0,0
82046,"TANGAMBALANGA NE DAIRY",-36.2509,147.0263,03/02/2021,0,0,0,0,0,0,0,0
81049,"TATURA INST SUSTAINABLE AG",-36.4378,145.2672,03/02/2021,0,0,0,0,0,0,0,0
83038,TAWONGA,-36.6566,147.1283,03/02/2021,0,0,0,0,0,0,0,0
90077,TERANG,-38.2362,142.9166,03/02/2021,1.2,0,0,1.2,0,0,0,0
85308,"THORPDALE PEAK",-38.3053,146.2139,03/02/2021,6.2,0,0,3.8,0,0,0,2.4
82142,"TOLMIE (MOUNT TABLETOP REPEATER)",-36.9461,146.2197,03/02/2021,0,0,0,0,0,0,0,0
80056,TONGALA,-36.2507,144.9591,03/02/2021,0,0,0,0,0,0,0,0
82148,"TOO ROUR (MOROKO PARK)",-36.8278,145.8494,03/02/2021,0,0,0,0,0,0,0,0
86117,"TOOROURRONG RESERVOIR (TOOROURRONG)",-37.4770,145.1513,03/02/2021,1.6,0,0,1.2,0.4,0,0,0
85281,"TRARALGON CREEK AT KOORNALLA",-38.3245,146.5301,03/02/2021,1,0,0,0.8,0.2,0,0,0
85009,"TRARALGON EPA",-38.1951,146.5293,03/02/2021,1.4,0,0,1.4,0,0,0,0
77048,"ULTIMA (POST OFFICE)",-35.4699,143.2669,03/02/2021,0,0,0,0,0,0,0,0
82018,"UPLANDS (GIBBO RIVER PARK)",-36.7691,147.6956,03/02/2021,0,0,0,0,0,0,0,0
86377,"UPPER PLENTY",-37.4225,145.0752,03/02/2021,2.2,0,0,2.2,0,0,0,0
86068,VIEWBANK,-37.7408,145.0972,03/02/2021,1.4,0,0,0.8,0.2,0,0,0.4
86350,WALLAN,-37.4187,144.9770,03/02/2021,0,0,0,0,0,0,0,0
88162,"WALLAN (KILMORE GAP)",-37.3807,144.9654,03/02/2021,0.2,0,0,0,0.2,0,0,0
76064,"WALPEUP RESEARCH",-35.1201,142.0040,03/02/2021,0,0,0,0,0,0,0,0
82138,"WANGARATTA AERO",-36.4205,146.3056,03/02/2021,0,0,0,0,0,0,0,0
86090,"WARBURTON (O'SHANNASSY RESERVOIR (QUARTE",-37.7089,145.7855,03/02/2021,0,0,0,0,0,0,0,0
89084,"WARRAMBINE CK AT WARRAMBINE",-37.9333,143.8667,03/02/2021,0.8,0,0,0.8,0,0,0,0
90186,"WARRNAMBOOL AIRPORT NDB",-38.2867,142.4522,03/02/2021,1.2,0,0,0.6,0.2,0,0.4,0
80061,"WEDDERBURN (POST OFFICE)",-36.4183,143.6123,03/02/2021,0,0,0,0,0,0,0,0
84128,"WEERAGUA (CANN RIVER (EAST BRANCH) AT CH",-37.3564,149.2058,03/02/2021,0.6,0,0,0.4,0,0,0,0.2
76067,WERRIMULL,-34.3883,141.5954,03/02/2021,0,0,0,0,0,0,0,0
89112,WESTMERE,-37.7067,142.9378,03/02/2021,0.6,0,0,0.6,0,0,0,0
82105,"WHITFIELD (KING RIVER AT CHESHUNT)",-36.8314,146.3982,03/02/2021,0,0,0,0,0,0,0,0
83032,"WHITLANDS (BURDER'S LANE)",-36.8473,146.3225,03/02/2021,0,0,0,0,0,0,0,0
89033,WICKLIFFE,-37.6901,142.7253,03/02/2021,1,0,0,0.6,0,0,0,0.4
89034,"WILLAURA (MAIN STREET)",-37.5483,142.7393,03/02/2021,0,0,0,0,0,0,0,0
88010,"WILLOWMAVIN (AVALON STATION)",-37.2531,144.8614,03/02/2021,0,0,0,0,0,0,0,0
85096,"WILSONS PROMONTORY LIGHTHOUSE",-39.1297,146.4246,03/02/2021,12,0,0,9.2,0,2.4,0,0.4
90167,"WINCHELSEA (POST OFFICE)",-38.2430,143.9887,03/02/2021,0.4,0,0,0.4,0,0,0,0
82056,WODONGA,-36.1180,146.9061,03/02/2021,0,0,0,0,0,0,0,0
84118,"WONNANGATTA RIVER @ WATERFORD",-37.4900,147.1658,03/02/2021,0,0,0,0,0,0,0,0
86127,WONTHAGGI,-38.6078,145.5965,03/02/2021,3.2,0.4,0,2,0,0,0,0.8
88061,WOODEND,-37.3578,144.5390,03/02/2021,0.2,0.2,0,0,0,0,0,0
77052,WOOMELANG,-35.6803,142.6664,03/02/2021,0,0,0,0,0,0,0,0
78042,WYCHEPROOF,-36.0775,143.2268,03/02/2021,0,0,0,0,0,0,0,0
86131,"YAN YEAN",-37.5552,145.1259,03/02/2021,1,0,0,0.6,0.2,0,0,0.2
85310,"YARRAGON SOUTH",-38.2741,146.0914,03/02/2021,6.6,0.2,0,3.2,0,0,0,3.2
85151,"YARRAM AIRPORT",-38.5647,146.7479,03/02/2021,6.6,0,0,6,0,0,0,0.6
81124,YARRAWONGA,-36.0294,146.0305,03/02/2021,0,0,0,0,0,0,0,0
88067,YEA,-37.2164,145.4301,03/02/2021,0,0,0,0,0,0,0,0
87130,ROMSEY,-37.3495,144.7494,03/02/2021,0,0,0,0,0,0,0,0
88124,"TABILK (TAHBILK WINERY)",-36.8253,145.0865,03/02/2021,0,0,0,0,0,0,0,0
85167,"MEERLIEU (SPRINGVALE WEST)",-38.0051,147.3958,03/02/2021,0.8,0,0,0.6,0,0,0.2,0
